1. Domain Adaptation, Syntax **No**
2. Singular Value Decomposition, Mixture Models **Yes**
3. First-Order Logic, Convolutional Neural Network **No**
4. KKT Conditions, Monte Carlo Methods **No**
5. Deep Q-Network, Transition Based Dependency Parsing **No**
6. Programming Languages, K Means **No**
7. Attention Models, Neural Networks **Yes**
8. Speech Synthesis, Context-Sensitive Grammars **No**
9. Transfer Learning, Semantic Similarity **Yes**
10. Restricted Boltzmann Machine, Deep Belief Networks, Neural Turing Machine **Yes**
11. Dimensionality Reduction, Visual QA **Yes**
12. Belief Propagation, Highway Networks **No**
13. The IBM Models, Bayes Theorem **Yes**
14. Neural Parsing, Phonetics **No**
15. Meta-Learning, Agent-Based View of AI **No**
16. Random Forest, Gradient Descent **No**
17. Feature Selection, Canonical Correlation Analysis **Yes**
18. Lagrange Duality, Variational Autoencoders **Yes**
19. Evaluation of Language Modeling, Sentence Simplification **No**
20. Mean Field Approximation, Autonomous Cars **No**
21. Spelling Correction, Lexicalized Parsing **Yes**
22. NN Sequence Parsing, Expectation Maximization Algorithm **Yes**
23. Linear Regression, CKY Parsing **No**
24. First-Order Logic, Chomsky Hierarchy **Yes**
25. Stack LSTM, Grammar Checker **No**
26. AlphaGo, Dirichlet Processes **No**
27. Phrase Based Machine Translation, Object Detection **No**
28. Chat Bots, Syntax Based Machine Translation **Yes**
29. Morphological Disambiguation, ImageNet **No**
30. Edit Distance, Semantic Parsing **Yes**
31. Evaluation of Dependency Parsing, Entailment **No**
32. Word Embedding Variations, Policy Gradient Methods **No**
33. NLP for the Humanities, Evaluation of Information Retrieval **No**
34. Kernel Graphical Models, Latent Semantic Indexing **No**
35. Parsing Evaluation, Probabilistic Grammars **Yes**
36. Finite State Machines, Dimensionality Reduction **No**
37. The IBM Models, Multi-Task Learning **No**
38. Training Neural Networks, Programming Languages **Yes**
39. Memory Networks, Dual Decomposition **No**
40. Part of Speech Tagging, Domain Adaptation **Yes**
41. Convolutional Neural Network, Text Similarity **Yes**
42. Manifold Learning, Predicate Logic **No**
43. Statistical Machine Translation, Reading Comprehension **No**
44. Finite State Transducers, Dynamic Programming **Yes**
45. Bias-Variance, Statistical Parsing **Yes**
46. Context Free Grammars, Sentiment Analysis **Yes**
47. Machine Translation, Summarization Evaluation **Yes**
48. Heuristic Search, Named Entity Recognition **No**
49. Word Embedding Variations, Neural Machine Translation **Yes**
50. Robotics, Latent Semantic Indexing **No**
51. Markov Decision Processes, NLP for Databases **No**
52. Document Ranking, Preprocessing **No**
53. Question Answering, Scientific Article Summarization **No**
54. Maximum Likelihood Estimation, Linear Regression **Yes**
55. TSNE, Context Sensitive Grammar **No**
56. Capsule Networks, Text Summarization **No**
